id,name,position,team,bye_week,adp,pass_yd,pass_td,pass_int,pass_2pt,rush_yd,rush_td,rush_2pt,rec,rec_yd,rec_td,rec_2pt,fumbles,pat_made,fg_miss,fg_0_39,fg_40_49,fg_50_59,fg_60_plus,sack,blk_kick,def_int,fumble_recovery,safety,krt_td,prt_td,int_ret_td,fum_ret_td,blk_kick_ret_td,two_pt_ret,one_pt_safety
sleeper:8132,Tyler Allgeier,RB,ARI,,111.2,0,0,0,0,761.0,5.0,0,21.0,152.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:9480,Brenton Strange,TE,JAX,,111.6,0,0,0,0,0,0,0,60.0,648.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:8126,Wan'Dale Robinson,WR,TEN,,111.7,0,0,0,0,16.0,0,0,70.0,720.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:4950,Christian Kirk,WR,SF,14,111.7,0,0,0,0,18.0,0,0,36.0,410.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:DEN,Denver Broncos,DST,DEN,12,111.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,15.0,11.0,0,0,1.0,0,0,0,0,0
sleeper:11565,J.J. McCarthy,QB,MIN,6,111.9,425.0,2.0,2.0,1.0,41.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:6819,Michael Pittman,WR,PIT,,113.6,0,0,0,0,7.0,0,0,68.0,748.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:9494,Marvin Mims,WR,DEN,12,114.9,0,0,0,0,36.0,1.0,0,27.0,293.0,2.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
sleeper:7591,Justin Fields,QB,KC,10,114.9,363.0,2.0,2.0,3.0,102.0,1.0,2.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:13330,Kenyon Sadiq,TE,,,114.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
